职位,薪资,公司,城市,区域,街道,经验,学历,领域,规模,性质
档案数字化项目经理,4000-7000元,陕西兰台科技有限公司,西安,莲湖,红庙坡,1-3年,大专,零售/批发,20-99人,民营
项目经理,4000-8000元,陕西烽火实业有限公司,西安,长安,五星,1-3年,大专,咨询服务,100-299人,国企
高企项目经理（项目申报）,7000-12000元,西安合创汇知网络科技有限公司,西安,雁塔,丈八沟,1-3年,学历不限,咨询服务,300-499人,民营
硬件项目经理,1-1.8万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,经验不限,本科,互联网,10000人以上,民营
销售经理（业务经理/测绘项目承揽）,8000-16000元,中陕核工业集团测绘院有限公司,西安,灞桥,灞桥街道,1-3年,学历不限,建筑设备安装,100-299人,国企
项目经理,8000-15000元,陕西赛贝通油田技术服务有限公司,西安,未央,张家堡,5-10年,本科,石油/石化,20-99人,民营
对日开发初级技术员到项目经理的全职位招聘,1.5-3万,株式会社ProfaceSystems,西安,未央,汉城,1-3年,大专,计算机软件,20-99人,外商独资
商业项目经理,8000-12000元,西安高孚置业有限公司,西安,雁塔,杜城,5-10年,大专,房地产开发,20-99人,民营
中医专长项目招生顾问/政策运营经理,4000-8000元,西安泽尔惠尔教育科技有限公司,西安,未央,谭家,1-3年,学历不限,在线教育,20-99人,民营
项目开发经理,6000-12000元,宁夏国本能源有限公司,西安,长安,郭杜,3-5年,本科,新能源,20-99人,股份制企业
平安NBS项目组综合金融客户经理,1-2万,中国平安人寿保险股份有限公司陕西分公司西安市万众营销服务部(赫瑞团队),西安,雁塔,曲江,1年以下,大专,保险,500-999人,
项目合伙人,8000-16000元,陕西华鲵商贸有限公司,西安,碑林,柏树林,经验不限,学历不限,电子商务,20-99人,民营
项目经理（环卫）,8000-10000元,陕西恒耀控股集团有限公司,西安,莲湖,土门,5-10年,大专,医药批发/零售,100-299人,民营
项目经理,6000-12000元,科立泰(陕西)技术服务有限公司,西安,未央,汉城,1-3年,大专,金属制品业,20人以下,股份制企业
高企项目经理（项目申报）,7000-12000元,西安合创汇知网络科技有限公司,西安,雁塔,丈八沟,1-3年,学历不限,咨询服务,300-499人,民营
房产项目销售业务经理（非洲）,1.6-2.4万,尧柏特种水泥集团有限公司,西安,长安,韦曲,3-5年,大专,房地产开发,1000-9999人,上市公司
项目经理,1-1.1万,湖南壹诺科教教育科技有限公司,西安,雁塔,长延堡,1-3年,学历不限,零售/批发,20-99人,民营
高企项目经理（高薪，集团直招）,7000-12000元,西安合创汇知网络科技有限公司,西安,雁塔,丈八沟,1-3年,大专,咨询服务,300-499人,民营
金融项目经理,4000-6000元,陕西大象融资担保有限公司,西安,雁塔,丈八沟,经验不限,学历不限,租赁/拍卖/典当/担保,20-99人,
物业项目经理,6000-7000元,西安旭禾后勤服务管理有限公司,西安,碑林,张家村,1年以下,大专,餐饮服务,300-499人,
土建项目经理,9000-13000元,陕西辉源建设有限公司,西安,未央,汉城,10年以上,本科,房地产开发,20-99人,民营
弱电安防项目经理,5000-8000元,西安新昌智能系统工程有限公司,西安,碑林,东关南街,1-3年,大专,电力/水利/热力/燃气,20-99人,民营
物业项目经理,4000-8000元,陕西中科智联城市服务有限公司,西安,新城,胡家庙,经验不限,大专,物业管理,100-299人,
项目经理-西安高新区营业部,6000-10000元,西部证券,西安,雁塔,电子城,经验不限,本科,证券/期货,1000-9999人,股份制企业
光伏项目经理,7000-12000元,西安古韵恒盛新能源产业有限公司,西安,未央,汉城,1-3年,大专,新能源,20-99人,民营
光伏项目经理,7000-12000元,陕西拓昊建设工程有限公司,西安,灞桥,席王,3-5年,大专,工程施工,20人以下,
fpga开发工程师/项目经理,1.2-2万,东方闪光(北京)光电科技有限公司,西安,雁塔,丈八沟,经验不限,本科,仪器仪表制造,20-99人,民营
卓越经理人项目,1-2万,中信保诚人寿保险有限公司陕西省分公司(营销业务部),西安,雁塔,曲江,经验不限,本科,保险,100-299人,股份制企业
系统集成项目经理,6000-8000元,陕西米尼特电子有限公司,西安,碑林,太乙路,3-5年,大专,通信/网络设备,20人以下,民营
项目经理（城配业务）,6000-10000元,陕西卓裕医药供应链服务有限公司,西安,高陵,崇皇,5-10年,大专,医疗设备/器械,100-299人,民营
系统集成硬件实施项目经理,8000-16000元,陕西西科美芯电子科技有限公司,西安,碑林,太乙路,3-5年,大专,IT服务,100-299人,民营
硬件项目经理,1.3-1.6万,软通动力信息技术(集团)股份有限公司,西安,雁塔,漳浒寨,3-5年,本科,互联网,10000人以上,民营
通信项目经理,7000-12000元,陕西成睿科技有限责任公司,西安,雁塔,丈八沟,5-10年,大专,IT服务,20人以下,
